level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1080	-1	
2	1	1	0	0	0	388	47	1237	148	-1	
3	1	1	1	0	0	388	47	1237	148	-1	
4	1	1	1	1	0	870	47	274	28	-1	
5	1	1	1	1	1	870	47	54	22	96.476807	U.S.
5	1	1	1	1	2	935	47	116	28	96.491203	Treasury
5	1	1	1	1	3	1062	47	82	22	95.399300	Bonds
4	1	1	1	2	0	635	77	741	28	-1	
5	1	1	1	2	1	635	77	60	22	96.724419	Zero
5	1	1	1	2	2	706	77	101	28	96.375587	Coupon
5	1	1	1	2	3	817	77	80	22	96.011269	Yields
5	1	1	1	2	4	907	77	47	22	96.082001	and
5	1	1	1	2	5	967	77	57	22	96.667450	HJM
5	1	1	1	2	6	1035	77	75	22	96.720833	World
5	1	1	1	2	7	1123	77	77	22	95.903259	Model
5	1	1	1	2	8	1213	77	56	22	96.310249	Risk
5	1	1	1	2	9	1280	77	96	22	96.483398	Factors
4	1	1	1	3	0	741	107	527	28	-1	
5	1	1	1	3	1	741	107	133	22	96.838158	Kamakura
5	1	1	1	3	2	886	107	56	22	96.136658	Risk
5	1	1	1	3	3	953	107	120	28	96.885628	Manager,
5	1	1	1	3	4	1084	107	98	22	95.961388	Version
5	1	1	1	3	5	1196	107	72	22	96.957268	11.0.1
4	1	1	1	4	0	388	137	1237	28	-1	
5	1	1	1	4	1	388	137	73	28	96.338936	Using
5	1	1	1	4	2	473	137	126	22	96.537193	Maximum
5	1	1	1	4	3	610	137	165	22	96.081383	Smoothness
5	1	1	1	4	4	787	137	105	22	96.402931	Forward
5	1	1	1	4	5	905	137	82	26	96.252304	Rates,
5	1	1	1	4	6	996	137	92	22	96.636642	Adams
5	1	1	1	4	7	1099	137	47	22	96.677193	and
5	1	1	1	4	8	1157	143	46	16	96.902771	van
5	1	1	1	4	9	1215	137	120	22	93.289734	Deventer
5	1	1	1	4	10	1345	137	79	28	92.894081	[1994,
5	1	1	1	4	11	1437	137	104	28	96.195961	updated
5	1	1	1	4	12	1555	137	70	28	96.815567	1996]
4	1	1	1	5	0	815	167	381	28	-1	
5	1	1	1	5	1	815	167	76	22	96.615692	Trade
5	1	1	1	5	2	903	167	67	22	96.714432	Date:
5	1	1	1	5	3	979	167	93	28	96.552979	August
5	1	1	1	5	4	1081	167	39	26	95.618134	29,
5	1	1	1	5	5	1131	167	65	22	96.906303	2025
2	1	2	0	0	0	1276	454	579	124	-1	
3	1	2	1	0	0	1276	454	579	124	-1	
4	1	2	1	1	0	1276	488	16	90	-1	
5	1	2	1	1	1	1276	518	16	60	96.027435	Factor
5	1	2	1	1	2	1276	488	16	21	78.941666	10.
4	1	2	1	2	0	1557	454	16	118	-1	
5	1	2	1	2	1	1557	512	16	60	93.088814	Factor
5	1	2	1	2	2	1557	454	16	49	71.542358	11.....
4	1	2	1	3	0	1839	457	16	120	-1	
5	1	2	1	3	1	1839	516	16	61	93.150742	Factor
5	1	2	1	3	2	1839	457	16	51	86.486710	12.....
2	1	3	0	0	0	53	355	20	327	-1	
3	1	3	1	0	0	53	355	20	327	-1	
4	1	3	1	1	0	53	355	16	17	-1	
5	1	3	1	1	1	53	355	16	17	73.172958	=
4	1	3	1	2	0	57	374	12	10	-1	
5	1	3	1	2	1	57	374	12	10	22.161934	oO
4	1	3	1	3	0	57	386	12	16	-1	
5	1	3	1	3	1	57	386	12	16	19.887451	2°
4	1	3	1	4	0	57	404	12	11	-1	
5	1	3	1	4	1	57	404	12	11	35.691826	oO
4	1	3	1	5	0	53	417	16	12	-1	
5	1	3	1	5	1	53	417	16	12	85.619759	a
4	1	3	1	6	0	53	438	19	20	-1	
5	1	3	1	6	1	53	438	19	20	30.117386	x
4	1	3	1	7	0	53	461	16	14	-1	
5	1	3	1	7	1	53	461	16	14	66.645378	2
4	1	3	1	8	0	53	477	16	13	-1	
5	1	3	1	8	1	53	477	16	13	19.773209	S
4	1	3	1	9	0	53	498	16	10	-1	
5	1	3	1	9	1	53	498	16	10	17.653214	bo]
4	1	3	1	10	0	57	510	12	10	-1	
5	1	3	1	10	1	57	510	12	10	89.432762	=
4	1	3	1	11	0	57	522	12	10	-1	
5	1	3	1	11	1	57	522	12	10	0.000000	[o}
4	1	3	1	12	0	53	534	16	12	-1	
5	1	3	1	12	1	53	534	16	12	74.980759	a
4	1	3	1	13	0	57	555	12	10	-1	
5	1	3	1	13	1	57	555	12	10	86.173607	=
4	1	3	1	14	0	57	567	12	11	-1	
5	1	3	1	14	1	57	567	12	11	28.608925	3
4	1	3	1	15	0	57	579	16	10	-1	
5	1	3	1	15	1	57	579	16	10	35.506508	ro
4	1	3	1	16	0	57	592	12	9	-1	
5	1	3	1	16	1	57	592	12	9	41.209251	5
4	1	3	1	17	0	57	604	12	10	-1	
5	1	3	1	17	1	57	604	12	10	56.905571	fo}
4	1	3	1	18	0	53	616	16	14	-1	
5	1	3	1	18	1	53	616	16	14	0.000000	[S)
4	1	3	1	19	0	57	638	12	17	-1	
