level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1080	-1	
2	1	1	0	0	0	388	47	1237	148	-1	
3	1	1	1	0	0	388	47	1237	148	-1	
4	1	1	1	1	0	870	47	274	28	-1	
5	1	1	1	1	1	870	47	54	22	96	U.S.
5	1	1	1	1	2	935	47	116	28	96	Treasury
5	1	1	1	1	3	1062	47	82	22	96	Bonds
4	1	1	1	2	0	612	77	788	28	-1	
5	1	1	1	2	1	612	77	146	22	92	Annualized
5	1	1	1	2	2	769	77	96	28	91	28-Day
5	1	1	1	2	3	876	77	106	22	96	Forward
5	1	1	1	2	4	994	77	75	22	96	Rates
5	1	1	1	2	5	1080	77	47	22	96	and
5	1	1	1	2	6	1138	77	60	22	96	Zero
5	1	1	1	2	7	1209	77	101	28	96	Coupon
5	1	1	1	2	8	1320	77	80	22	95	Yields
4	1	1	1	3	0	741	107	527	28	-1	
5	1	1	1	3	1	741	107	133	22	96	Kamakura
5	1	1	1	3	2	886	107	56	22	96	Risk
5	1	1	1	3	3	953	107	120	28	96	Manager,
5	1	1	1	3	4	1084	107	98	22	96	Version
5	1	1	1	3	5	1196	107	72	22	96	11.0.1
4	1	1	1	4	0	388	137	1237	28	-1	
5	1	1	1	4	1	388	137	73	28	96	Using
5	1	1	1	4	2	473	137	126	22	96	Maximum
5	1	1	1	4	3	610	137	165	22	96	Smoothness
5	1	1	1	4	4	787	137	105	22	96	Forward
5	1	1	1	4	5	905	137	82	26	96	Rates,
5	1	1	1	4	6	996	137	92	22	96	Adams
5	1	1	1	4	7	1099	137	47	22	96	and
5	1	1	1	4	8	1157	143	46	16	96	van
5	1	1	1	4	9	1215	137	120	22	93	Deventer
5	1	1	1	4	10	1345	137	79	28	92	[1994,
5	1	1	1	4	11	1437	137	104	28	96	updated
5	1	1	1	4	12	1555	137	70	28	96	1996]
4	1	1	1	5	0	815	167	381	28	-1	
5	1	1	1	5	1	815	167	76	22	96	Trade
5	1	1	1	5	2	903	167	67	22	96	Date:
5	1	1	1	5	3	979	167	93	28	95	August
5	1	1	1	5	4	1081	167	39	26	95	29,
5	1	1	1	5	5	1131	167	65	22	96	2025
2	1	2	0	0	0	1877	201	2	617	-1	
3	1	2	1	0	0	1877	201	2	617	-1	
4	1	2	1	1	0	1877	201	2	617	-1	
5	1	2	1	1	1	1877	201	2	617	95	 
2	1	3	0	0	0	924	848	164	55	-1	
3	1	3	1	0	0	924	848	164	55	-1	
4	1	3	1	1	0	996	848	22	16	-1	
5	1	3	1	1	1	996	848	22	16	96	15
4	1	3	1	2	0	924	883	164	20	-1	
5	1	3	1	2	1	924	883	55	16	95	Years
5	1	3	1	2	2	986	883	17	16	95	to
5	1	3	1	2	3	1011	883	77	20	96	Maturity
2	1	4	0	0	0	605	950	894	21	-1	
3	1	4	1	0	0	605	950	894	21	-1	
4	1	4	1	1	0	605	950	894	21	-1	
5	1	4	1	1	1	605	951	44	16	96	Zero
5	1	4	1	1	2	657	951	75	20	96	Coupon
5	1	4	1	1	3	741	951	48	16	96	Bond
5	1	4	1	1	4	797	951	58	16	96	Yields
5	1	4	1	1	5	1063	951	77	16	96	Forward
5	1	4	1	1	6	1149	951	56	16	96	Rates
5	1	4	1	1	7	1279	950	17	17	91	@
5	1	4	1	1	8	1319	951	33	16	96	Par
5	1	4	1	1	9	1359	951	74	20	96	Coupon
5	1	4	1	1	10	1441	951	58	16	96	Yields
2	1	5	0	0	0	141	1015	579	20	-1	
3	1	5	1	0	0	141	1015	579	20	-1	
4	1	5	1	1	0	141	1015	579	20	-1	
5	1	5	1	1	1	141	1015	74	16	96	Source:
5	1	5	1	1	2	223	1015	43	16	96	SAS
5	1	5	1	1	3	274	1015	75	16	93	Institute
5	1	5	1	1	4	358	1015	38	19	93	Inc.,
5	1	5	1	1	5	405	1015	39	16	85	U.S.
5	1	5	1	1	6	454	1015	113	20	96	Department
5	1	5	1	1	7	574	1015	19	16	96	of
5	1	5	1	1	8	598	1015	30	16	96	the
5	1	5	1	1	9	635	1015	85	20	96	Treasury
2	1	6	0	0	0	0	0	1920	1080	-1	
3	1	6	1	0	0	0	0	1920	1080	-1	
4	1	6	1	1	0	0	0	1920	1080	-1	
5	1	6	1	1	1	0	0	1920	1080	95	 
